
Crout Comp
Parallel LU , 1
Parallel MULT , 1
ROW_SIZE, 2048
Err , RUN_COUNT
100 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 10.330648 , 15.784730 , 17.514141
1 , 10.452939 , 16.131839 , 31.907382
2 , 10.639630 , 16.232236 , 0.366363
3 , 10.523872 , 15.256866 , 1.700023
4 , 10.378599 , 15.197093 , 68.482907
5 , 10.415602 , 15.141699 , 5.434138
6 , 10.544340 , 15.195709 , 0.093608
7 , 10.723003 , 15.148687 , 9.475705
8 , 10.679431 , 16.656502 , 16.864843
9 , 10.511748 , 15.257461 , 0.028702
10 , 10.508324 , 15.718371 , 0.048807
11 , 10.351181 , 16.360530 , 3.167434
12 , 10.192948 , 16.067602 , 1.823846
13 , 10.538774 , 15.309707 , 7.251580
14 , 10.599545 , 15.996194 , 3.088576
15 , 10.499147 , 15.692191 , 11.860464
16 , 10.264528 , 14.848355 , 1.291420
17 , 10.303090 , 16.253960 , 2.875864
18 , 10.368923 , 16.322958 , 21.913438
19 , 10.448857 , 16.312034 , 74.321024
20 , 10.212766 , 15.425215 , 0.197218
21 , 10.821985 , 16.208699 , 8.279037
22 , 10.507886 , 15.820108 , 1.269625
23 , 10.527155 , 19.715706 , 69.048523
24 , 10.696088 , 15.885646 , 0.388807
26 , 10.709144 , 16.454719 , 79.468397
27 , 10.605612 , 15.726641 , 4.978146
28 , 10.519059 , 15.043314 , 7.460892
29 , 10.467499 , 15.667068 , 3.099306
30 , 10.669112 , 16.363581 , 0.210743
31 , 10.598308 , 15.565796 , 14.225035
32 , 10.537436 , 16.066616 , 8.193182
33 , 10.664865 , 15.678026 , 5.500234
34 , 10.590052 , 15.156352 , 2.022837
35 , 10.664535 , 16.366522 , 0.155527
36 , 10.725528 , 16.461852 , 1.606136
37 , 10.498460 , 15.803371 , 7.849596
38 , 10.546478 , 15.030187 , 5.813346
39 , 10.475731 , 16.830576 , 3.071525
40 , 10.477566 , 16.788916 , 0.958589
41 , 10.415549 , 16.118300 , 2.270531
42 , 10.230809 , 15.177578 , 11.426143
43 , 10.296210 , 16.368588 , 2.111090
44 , 10.432916 , 15.426796 , 4.691027
45 , 10.241684 , 15.058499 , 0.081977
46 , 10.248741 , 16.889386 , 497.562079
47 , 10.477141 , 16.859087 , 1.963351
48 , 10.495850 , 17.341360 , 4.321672
49 , 12.520500 , 15.162641 , 0.090500
50 , 10.476376 , 19.769779 , 6.494699
51 , 10.368644 , 15.081869 , 43.629480
52 , 10.505324 , 16.505119 , 0.025467
53 , 10.487873 , 15.199042 , 1.423623
54 , 10.534926 , 15.237090 , 19.230492
55 , 10.565007 , 16.187040 , 3.507721
56 , 10.433194 , 15.063273 , 0.935201
57 , 10.783385 , 15.619835 , 11.266140
58 , 10.539206 , 16.257759 , 187.240706
59 , 10.648738 , 17.097097 , 0.559150
60 , 10.822213 , 16.751669 , 6270.898067
61 , 10.743767 , 16.620833 , 15.746335
62 , 10.556977 , 16.142922 , 0.570567
63 , 10.449964 , 15.934678 , 3.150663
64 , 10.328299 , 16.335015 , 0.205594
65 , 10.499501 , 16.580462 , 0.880578
66 , 10.615868 , 16.673513 , 3.253878
67 , 10.523583 , 16.022556 , 5.353059
68 , 10.578105 , 15.732934 , 0.381280
69 , 10.476355 , 16.742348 , 1052.563615
70 , 10.629422 , 16.175216 , 25.165172
71 , 10.574369 , 16.143672 , 13.337539
72 , 10.810675 , 16.626508 , 0.412897
73 , 10.541771 , 16.697023 , 3.783288
74 , 11.185044 , 15.159379 , 4.925653
75 , 10.549229 , 14.926330 , 15.104632
76 , 118.480670 , 19.106825 , 1.865139
77 , 79.359961 , 15.965307 , 9.891788
78 , 10.389478 , 15.252332 , 0.192457
79 , 10.749110 , 15.053483 , 1.030481
80 , 10.516158 , 15.590830 , 61.495823
81 , 10.483968 , 15.230139 , 63.267106
82 , 10.460609 , 16.692762 , 1.470190
83 , 10.375751 , 14.999311 , 0.508157
84 , 10.414195 , 15.082522 , 11.553606
85 , 10.463349 , 16.249640 , 17.540211
86 , 10.748360 , 15.112983 , 17.765413
87 , 10.533658 , 15.159506 , 6.958191
88 , 10.448020 , 16.095403 , 11.156804
89 , 10.532430 , 15.277242 , 42.564721
90 , 10.351620 , 16.970969 , 1.783171
91 , 10.403259 , 16.570846 , 2.419189
92 , 10.585372 , 16.972559 , 0.980133
93 , 10.984596 , 17.047334 , 9.833145
94 , 10.724085 , 16.692157 , 16.270415
95 , 10.613185 , 16.144659 , 0.273608
96 , 10.747013 , 15.930495 , 0.602344
97 , 10.595827 , 15.943140 , 0.334494
98 , 10.845640 , 15.840167 , 8.522675
99 , 10.646047 , 16.147507 , 162.869276
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
100 , 100
