
Crout Comp
Parallel LU , 1
Parallel MULT , 0
ROW_SIZE, 512
Err , RUN_COUNT
100 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.128597 , 0.477528 , 0.167312
1 , 0.099831 , 0.471336 , 0.153006
2 , 0.100182 , 0.475794 , 11938.575256
3 , 0.100245 , 0.477435 , 0.411833
4 , 0.099782 , 0.475933 , 11937.674350
5 , 0.099917 , 0.475887 , 0.136088
6 , 0.100711 , 0.481451 , 6.129329
7 , 0.101472 , 0.480256 , 1.994171
8 , 0.100320 , 0.478213 , 5.343338
9 , 0.100171 , 0.483139 , 11937.073999
10 , 0.100744 , 0.478326 , 262.130576
11 , 0.100117 , 0.481535 , 11936.924480
12 , 0.100697 , 0.477250 , 4.982549
13 , 0.099588 , 0.473087 , 4.472162
14 , 0.100430 , 0.477712 , 49.199135
15 , 0.100496 , 0.478778 , 11935.925238
16 , 0.099876 , 0.476324 , 261.659153
17 , 0.100085 , 0.471186 , 0.344139
18 , 0.100571 , 0.477727 , 0.068428
19 , 0.099701 , 0.472395 , 261.428602
20 , 0.100009 , 0.480942 , 11934.678141
21 , 0.099740 , 0.472737 , 0.586001
22 , 0.100390 , 0.473761 , 0.308757
23 , 0.100045 , 0.477352 , 248.908601
24 , 0.099674 , 0.477966 , 0.241958
25 , 0.099774 , 0.472561 , 0.569074
26 , 0.099900 , 0.474258 , 247.918924
27 , 0.100150 , 0.491093 , 2.468617
28 , 0.099735 , 0.490816 , 0.552147
29 , 0.099582 , 0.479940 , 0.552147
30 , 0.099885 , 0.472459 , 0.276461
31 , 0.099813 , 0.491060 , 0.276461
32 , 0.099674 , 0.490745 , 0.535222
33 , 0.100402 , 0.478011 , 0.259544
34 , 0.099513 , 0.479898 , 2.217275
35 , 0.099515 , 0.480252 , 1.526666
36 , 0.099333 , 0.490243 , 1.607416
37 , 0.100836 , 0.516477 , 11933.737902
38 , 0.156187 , 0.510362 , 0.240425
39 , 0.100232 , 0.490033 , 1.235505
40 , 0.100239 , 0.491281 , 0.969096
41 , 0.100254 , 0.542021 , 848.573367
42 , 0.100305 , 0.490924 , 11932.992820
43 , 0.099659 , 0.489049 , 0.339486
44 , 0.099664 , 0.470934 , 0.687130
45 , 0.099946 , 0.489569 , 848.348817
46 , 0.099695 , 0.471259 , 0.467531
47 , 0.100501 , 0.491765 , 0.255566
48 , 0.100519 , 0.472642 , 0.191886
49 , 0.100398 , 0.490483 , 11931.704874
50 , 0.099776 , 0.472725 , 0.174974
51 , 0.100404 , 0.489237 , 198.432901
52 , 0.099968 , 0.490525 , 11.431252
53 , 0.100510 , 0.472777 , 0.433691
54 , 0.100514 , 0.490691 , 197.377469
55 , 0.099779 , 0.490206 , 847.529830
56 , 0.099762 , 0.490380 , 196.455018
57 , 0.100032 , 0.491018 , 11.027676
58 , 0.100276 , 0.472836 , 846.521972
59 , 0.099687 , 0.492367 , 11930.619146
60 , 0.099662 , 0.492648 , 0.124244
61 , 0.100515 , 0.471496 , 11929.827668
62 , 0.100563 , 0.474880 , 0.382939
63 , 0.099450 , 0.492012 , 0.382939
64 , 0.099932 , 0.490609 , 194.942571
65 , 0.100048 , 0.493807 , 0.107336
66 , 0.100093 , 0.490401 , 11929.186468
67 , 0.099684 , 0.471079 , 9.808907
68 , 0.099377 , 0.489123 , 0.090429
69 , 0.099287 , 0.489252 , 0.349109
70 , 0.099468 , 0.489268 , 0.349109
71 , 0.099667 , 0.470517 , 194.419065
72 , 0.099548 , 0.473579 , 9.428845
73 , 0.099332 , 0.479692 , 194.161522
74 , 0.102202 , 0.500413 , 8.612207
75 , 0.099805 , 0.482897 , 0.056618
76 , 0.099395 , 0.489533 , 193.970470
77 , 0.099514 , 0.479881 , 0.573941
78 , 0.099360 , 0.489439 , 8.502286
79 , 0.099548 , 0.488858 , 0.298372
80 , 0.099722 , 0.488983 , 0.298372
81 , 0.099471 , 0.473549 , 0.557022
82 , 0.099082 , 0.488865 , 4.371140
83 , 0.099625 , 0.489320 , 0.281461
84 , 0.100035 , 0.477581 , 0.540104
85 , 0.100118 , 0.489836 , 11925.240173
86 , 0.100403 , 0.480288 , 0.264552
87 , 0.099916 , 0.491277 , 0.264552
88 , 0.102812 , 0.503099 , 191.987310
89 , 0.100185 , 0.487727 , 845.515530
90 , 0.099684 , 0.491708 , 1.748247
91 , 0.100420 , 0.491672 , 0.506272
92 , 0.100314 , 0.489808 , 11924.702855
93 , 0.100488 , 0.481928 , 191.394675
94 , 0.100216 , 0.487794 , 11923.766646
95 , 0.100638 , 0.490279 , 191.001512
96 , 0.100515 , 0.490291 , 15.175765
97 , 0.110380 , 0.488048 , 0.268395
98 , 0.101064 , 0.485430 , 11923.130992
99 , 0.099948 , 0.491784 , 60.305947
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
100 , 100
