
Crout Comp
Parallel LU , 1
Parallel MULT , 0
ROW_SIZE, 32
Err , RUN_COUNT
49 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.001848 , 0.000327 , 0.000000
1 , 0.001598 , 0.000328 , 0.000000
2 , 0.001626 , 0.000327 , 0.327577
3 , 0.001397 , 0.000287 , 0.000000
4 , 0.001249 , 0.000252 , 0.000000
5 , 0.001546 , 0.000280 , 0.000000
6 , 0.001834 , 0.000279 , 0.000000
7 , 0.001757 , 0.000282 , 0.000000
8 , 0.001754 , 0.000282 , 0.000000
9 , 0.001582 , 0.000232 , 0.000000
10 , 0.001507 , 0.000228 , 0.000000
11 , 0.001521 , 0.000228 , 0.000000
12 , 0.001479 , 0.000194 , 0.000000
13 , 0.001351 , 0.000194 , 0.000000
14 , 0.001350 , 0.000194 , 0.000000
15 , 0.001484 , 0.000195 , 0.000000
16 , 0.001258 , 0.000197 , 0.000000
17 , 0.001331 , 0.000171 , 0.000000
18 , 0.001237 , 0.000171 , 0.000000
19 , 0.001248 , 0.000171 , 0.000000
20 , 0.001235 , 0.000171 , 0.000000
21 , 0.001225 , 0.000168 , 0.000000
22 , 0.001232 , 0.000172 , 0.000000
23 , 0.001153 , 0.000153 , 0.000000
24 , 0.001130 , 0.000153 , 0.000000
25 , 0.001136 , 0.000153 , 0.000000
26 , 0.001134 , 0.000153 , 0.000000
27 , 0.001115 , 0.000138 , 0.751125
28 , 0.001081 , 0.000138 , 0.000000
29 , 0.001088 , 0.000138 , 0.000000
30 , 0.001085 , 0.000138 , 0.000000
31 , 0.001063 , 0.000138 , 0.000000
32 , 0.001087 , 0.000137 , 0.000000
33 , 0.001074 , 0.000138 , 0.000000
34 , 0.000982 , 0.000129 , 0.100666
35 , 0.000872 , 0.000129 , 0.000000
36 , 0.000882 , 0.000129 , 0.000000
37 , 0.000903 , 0.000128 , 0.000000
38 , 0.000902 , 0.000129 , 0.840715
39 , 0.000869 , 0.000135 , 0.000000
40 , 0.000835 , 0.000121 , 9.696646
41 , 0.000854 , 0.000121 , 0.000000
42 , 0.000818 , 0.000122 , 0.000000
43 , 0.000840 , 0.000121 , 0.000000
44 , 0.000824 , 0.000121 , 0.000000
45 , 0.000822 , 0.000121 , 0.398412
46 , 0.000816 , 0.000121 , 0.000000
47 , 0.000839 , 0.000116 , 8.911527
48 , 0.000789 , 0.000115 , 0.000000
49 , 0.000790 , 0.000118 , 0.000000
50 , 0.000782 , 0.000116 , 0.000000
51 , 0.000786 , 0.000118 , 0.000000
52 , 0.000754 , 0.000110 , 0.000000
53 , 0.000797 , 0.000111 , 0.000000
54 , 0.000731 , 0.000114 , 0.000000
55 , 0.000729 , 0.000114 , 0.000000
56 , 0.000733 , 0.000115 , 0.000000
57 , 0.000731 , 0.000115 , 0.398412
58 , 0.000741 , 0.000110 , 0.000000
59 , 0.000666 , 0.000107 , 0.398412
60 , 0.000631 , 0.000107 , 0.398412
61 , 0.000619 , 0.000106 , 0.398412
62 , 0.000613 , 0.000106 , 0.398412
63 , 0.000598 , 0.000107 , 0.398412
64 , 0.000601 , 0.000107 , 0.398412
65 , 0.000590 , 0.000106 , 0.398412
66 , 0.000603 , 0.000110 , 0.398412
67 , 0.000598 , 0.000107 , 0.398412
68 , 0.000569 , 0.000107 , 0.398412
69 , 0.000571 , 0.000103 , 0.398412
70 , 0.000549 , 0.000104 , 0.398412
71 , 0.000556 , 0.000104 , 0.100666
72 , 0.000575 , 0.000103 , 0.398412
73 , 0.000556 , 0.000103 , 0.398412
74 , 0.000580 , 0.000103 , 0.398412
75 , 0.000618 , 0.000104 , 0.398412
76 , 0.000573 , 0.000103 , 0.398412
77 , 0.000559 , 0.000103 , 0.398412
78 , 0.000613 , 0.000111 , 0.398412
79 , 0.000670 , 0.000109 , 0.398412
80 , 0.000649 , 0.000113 , 0.398412
81 , 0.000654 , 0.000104 , 0.398412
82 , 0.000655 , 0.000101 , 0.398412
83 , 0.000634 , 0.000101 , 0.398412
84 , 0.000652 , 0.000102 , 0.398412
85 , 0.000639 , 0.000100 , 0.398412
86 , 0.000648 , 0.000100 , 0.398412
87 , 0.000658 , 0.000108 , 0.398412
88 , 0.000653 , 0.000107 , 0.100666
89 , 0.000651 , 0.000107 , 0.398412
90 , 0.000664 , 0.000099 , 0.398412
91 , 0.000651 , 0.000108 , 0.398412
92 , 0.000657 , 0.000103 , 0.538107
93 , 0.000661 , 0.000109 , 0.538107
94 , 0.000670 , 0.000108 , 0.538107
95 , 0.000641 , 0.000103 , 0.538107
96 , 0.000682 , 0.000124 , 0.538107
97 , 0.000649 , 0.000097 , 0.538107
98 , 0.000666 , 0.000096 , 0.538107
99 , 0.000660 , 0.000105 , 0.538107
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
49 , 100
