
Crout Comp
Parallel LU , 1
Parallel MULT , 0
ROW_SIZE, 128
Err , RUN_COUNT
99 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.009837 , 0.017796 , 35.549181
1 , 0.007541 , 0.011648 , 0.000000
2 , 0.005257 , 0.009653 , 0.580011
3 , 0.004694 , 0.008460 , 1019.502134
4 , 0.004245 , 0.007911 , 1.454769
5 , 0.004395 , 0.007484 , 310.999671
6 , 0.004912 , 0.007098 , 0.122292
7 , 0.004840 , 0.007058 , 1081.659318
8 , 0.004876 , 0.007038 , 29.548359
9 , 0.004857 , 0.007058 , 0.122292
10 , 0.004873 , 0.007170 , 40.284500
11 , 0.004839 , 0.007143 , 310.999671
12 , 0.004926 , 0.007049 , 0.122292
13 , 0.005019 , 0.007050 , 268.960086
14 , 0.004859 , 0.007075 , 29.548359
15 , 0.004839 , 0.007064 , 29.548359
16 , 0.004805 , 0.007113 , 1160.549433
17 , 0.004863 , 0.007051 , 472.977313
18 , 0.004891 , 0.007103 , 29.548359
19 , 0.004797 , 0.007065 , 966.656887
20 , 0.004870 , 0.007045 , 100.700099
21 , 0.004841 , 0.007055 , 1119.909609
22 , 0.004983 , 0.007051 , 310.999671
23 , 0.004894 , 0.007061 , 310.999671
24 , 0.004807 , 0.007052 , 29.548359
25 , 0.004828 , 0.007061 , 29.548359
26 , 0.004908 , 0.007041 , 37.985184
27 , 0.004943 , 0.007094 , 32.211761
28 , 0.004885 , 0.007062 , 0.122292
29 , 0.004918 , 0.007069 , 0.122292
30 , 0.004940 , 0.007112 , 0.122292
31 , 0.004804 , 0.007063 , 5.042784
32 , 0.004868 , 0.007049 , 310.999671
33 , 0.004842 , 0.007127 , 1101.968894
34 , 0.004868 , 0.007062 , 0.122292
35 , 0.004940 , 0.007051 , 310.999671
36 , 0.004741 , 0.007067 , 0.122292
37 , 0.004851 , 0.007042 , 0.122292
38 , 0.004834 , 0.007083 , 189.513667
39 , 0.004785 , 0.007056 , 310.999671
40 , 0.004830 , 0.007198 , 638.282340
41 , 0.004801 , 0.007047 , 310.999671
42 , 0.004849 , 0.007047 , 1119.079127
43 , 0.004855 , 0.007088 , 29.548359
44 , 0.004819 , 0.007052 , 29.548359
45 , 0.004826 , 0.007050 , 310.999671
46 , 0.004824 , 0.007054 , 100.700099
47 , 0.004773 , 0.007059 , 29.548359
48 , 0.004811 , 0.007059 , 0.122292
49 , 0.004859 , 0.007036 , 0.122292
50 , 0.004827 , 0.007051 , 0.122292
51 , 0.004807 , 0.007054 , 0.122292
52 , 0.004873 , 0.007074 , 0.122292
53 , 0.004882 , 0.007057 , 310.999671
54 , 0.004825 , 0.007480 , 310.999671
55 , 0.004845 , 0.007059 , 0.122292
56 , 0.004813 , 0.007045 , 472.977313
57 , 0.004863 , 0.007063 , 0.122292
58 , 0.004830 , 0.007048 , 310.999671
59 , 0.004805 , 0.007048 , 0.122292
60 , 0.004848 , 0.007074 , 1101.968894
61 , 0.004774 , 0.007075 , 310.999671
62 , 0.004820 , 0.007052 , 42.195830
63 , 0.004844 , 0.007047 , 1075.999511
64 , 0.004845 , 0.007051 , 43.658991
65 , 0.004823 , 0.007105 , 829.405487
66 , 0.004821 , 0.007040 , 554.600718
67 , 0.004860 , 0.007041 , 29.548359
68 , 0.004932 , 0.007092 , 33.843196
69 , 0.004766 , 0.007051 , 56.591516
70 , 0.004810 , 0.007095 , 310.999671
71 , 0.004804 , 0.007061 , 1102.799377
72 , 0.004850 , 0.007055 , 0.122292
73 , 0.004881 , 0.007035 , 310.999671
74 , 0.004831 , 0.007044 , 309.606167
75 , 0.004885 , 0.007056 , 29.548359
76 , 0.004889 , 0.007051 , 43.658991
77 , 0.004959 , 0.007070 , 29.548359
78 , 0.004948 , 0.007063 , 29.548359
79 , 0.004803 , 0.007078 , 853.218108
80 , 0.004815 , 0.007066 , 264.683116
81 , 0.004864 , 0.007106 , 0.122292
82 , 0.004864 , 0.007051 , 0.101114
83 , 0.004874 , 0.007082 , 310.966659
84 , 0.004822 , 0.007054 , 310.966659
85 , 0.004858 , 0.007096 , 23.534966
86 , 0.004810 , 0.007034 , 27.191583
87 , 0.004774 , 0.007055 , 13.174710
88 , 0.004851 , 0.007054 , 156.042493
89 , 0.004817 , 0.007051 , 2.848767
90 , 0.004837 , 0.007056 , 156.319284
91 , 0.004922 , 0.007077 , 0.117379
92 , 0.004911 , 0.007124 , 0.117379
93 , 0.004827 , 0.007088 , 23.534966
94 , 0.004838 , 0.007084 , 55.776209
95 , 0.004841 , 0.007075 , 23.534966
96 , 0.004873 , 0.007045 , 156.042493
97 , 0.004876 , 0.007054 , 41.501204
98 , 0.004922 , 0.007056 , 156.042493
99 , 0.004824 , 0.007057 , 0.117379
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
99 , 100
