Parallel LU , 1
ROW_SIZE, 16
Run , LU_TIME
0 , 0.002674 
1 , 0.002548 
2 , 0.002428 
3 , 0.001882 
4 , 0.001311 
5 , 0.001381 
6 , 0.001225 
7 , 0.001220 
8 , 0.001239 
9 , 0.001214 
Run , LU_TIME
