Parallel LU , 1
ROW_SIZE, 1024
Run , LU_TIME
0 , 6.854391 
1 , 6.842775 
2 , 6.834792 
3 , 6.780137 
4 , 6.755229 
5 , 6.840976 
6 , 6.902367 
7 , 6.885112 
8 , 6.801082 
9 , 6.810869 
Run , LU_TIME
