Parallel LU , 1
ROW_SIZE, 64
Run , LU_TIME
0 , 0.024037 
1 , 0.018883 
2 , 0.018060 
3 , 0.017789 
4 , 0.017914 
5 , 0.017589 
6 , 0.017545 
7 , 0.017691 
8 , 0.018209 
9 , 0.017585 
Run , LU_TIME
