Parallel LU , 0
ROW_SIZE, 1024
Run , LU_TIME
0 , 1.467206 
1 , 1.462224 
2 , 1.463614 
3 , 1.464060 
4 , 1.463240 
5 , 1.463679 
6 , 1.463832 
7 , 1.463932 
8 , 1.461694 
9 , 1.463183 
Run , LU_TIME
