Parallel LU , 1
ROW_SIZE, 16
Run , LU_TIME
0 , 0.002493 
1 , 0.002045 
2 , 0.002032 
3 , 0.002036 
4 , 0.002047 
5 , 0.001866 
6 , 0.001736 
7 , 0.001213 
8 , 0.001176 
9 , 0.001188 
Run , LU_TIME
