Parallel LU , 0
ROW_SIZE, 256
Run , LU_TIME
0 , 0.034099 
1 , 0.023225 
2 , 0.023226 
3 , 0.023134 
4 , 0.023215 
5 , 0.023182 
6 , 0.023123 
7 , 0.023229 
8 , 0.023126 
9 , 0.023141 
Run , LU_TIME
