
Crout Comp
Parallel LU , 0
Parallel MULT , 1
ROW_SIZE, 128
Err , RUN_COUNT
95 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.006678 , 0.003390 , 0.000000
1 , 0.005612 , 0.002912 , 0.000000
2 , 0.004524 , 0.002674 , 0.000000
3 , 0.003967 , 0.002861 , 0.605674
4 , 0.003665 , 0.002396 , 0.605674
5 , 0.003413 , 0.002204 , 0.000000
6 , 0.003196 , 0.002175 , 0.000000
7 , 0.002981 , 0.002017 , 0.605674
8 , 0.002852 , 0.002008 , 0.605674
9 , 0.002776 , 0.001924 , 0.605674
10 , 0.002701 , 0.001994 , 0.605674
11 , 0.002624 , 0.002107 , 0.605674
12 , 0.002535 , 0.001843 , 0.605674
13 , 0.002513 , 0.001988 , 0.605674
14 , 0.002491 , 0.001805 , 0.605674
15 , 0.002385 , 0.001790 , 0.605674
16 , 0.002380 , 0.001817 , 0.605674
17 , 0.002339 , 0.001857 , 0.605674
18 , 0.002321 , 0.001811 , 0.605674
19 , 0.002317 , 0.001839 , 0.605674
20 , 0.002319 , 0.001807 , 0.605674
21 , 0.002318 , 0.001821 , 0.605674
22 , 0.002322 , 0.001860 , 0.605674
23 , 0.002352 , 0.001810 , 0.605674
24 , 0.002319 , 0.001800 , 0.605674
25 , 0.002322 , 0.001834 , 0.605674
26 , 0.002316 , 0.001791 , 0.605674
27 , 0.002321 , 0.001830 , 0.605674
28 , 0.002328 , 0.001810 , 0.605674
29 , 0.002415 , 0.001830 , 0.605674
30 , 0.002320 , 0.001794 , 0.605674
31 , 0.002318 , 0.001792 , 0.605674
32 , 0.002320 , 0.001815 , 0.605674
33 , 0.002337 , 0.001791 , 0.605674
34 , 0.002354 , 0.001768 , 0.605674
35 , 0.002315 , 0.001799 , 0.605674
36 , 0.002322 , 0.001829 , 0.605674
37 , 0.002318 , 0.001821 , 0.605674
38 , 0.002339 , 0.001841 , 0.605674
39 , 0.002318 , 0.001801 , 0.605674
40 , 0.002358 , 0.001851 , 0.605674
41 , 0.002323 , 0.001839 , 0.605674
42 , 0.002363 , 0.001825 , 0.605674
43 , 0.002343 , 0.001820 , 0.605674
44 , 0.002344 , 0.001818 , 0.605674
45 , 0.002319 , 0.001824 , 0.605674
46 , 0.002316 , 0.001804 , 0.605674
47 , 0.002320 , 0.001801 , 0.605674
48 , 0.002345 , 0.001837 , 53.817152
49 , 0.002339 , 0.001844 , 53.817152
50 , 0.002343 , 0.001874 , 54.406416
51 , 0.002332 , 0.001865 , 53.817152
52 , 0.002329 , 0.001846 , 54.406416
53 , 0.002335 , 0.001837 , 54.406416
54 , 0.002332 , 0.001823 , 54.406416
55 , 0.002333 , 0.001812 , 54.406416
56 , 0.002336 , 0.001800 , 53.817152
57 , 0.002333 , 0.001790 , 54.406416
58 , 0.002337 , 0.001825 , 54.406416
59 , 0.002320 , 0.001808 , 54.406416
60 , 0.002321 , 0.001829 , 54.406416
61 , 0.002341 , 0.001802 , 54.406416
62 , 0.002323 , 0.001870 , 54.406416
63 , 0.002361 , 0.001826 , 54.406416
64 , 0.002319 , 0.001831 , 54.406416
65 , 0.002341 , 0.001825 , 54.406416
66 , 0.002364 , 0.001804 , 54.406416
67 , 0.002362 , 0.001769 , 54.406416
68 , 0.002325 , 0.001805 , 54.406416
69 , 0.002340 , 0.001803 , 54.406416
70 , 0.002329 , 0.001796 , 54.406416
71 , 0.002352 , 0.001798 , 54.406416
72 , 0.002325 , 0.002017 , 54.406416
73 , 0.002324 , 0.001798 , 54.406416
74 , 0.002321 , 0.001800 , 54.406416
75 , 0.002324 , 0.001824 , 54.406416
76 , 0.002323 , 0.001840 , 54.406416
77 , 0.002338 , 0.001835 , 54.406416
78 , 0.002341 , 0.001821 , 54.406416
79 , 0.002324 , 0.001786 , 54.406416
80 , 0.002339 , 0.001810 , 54.406416
81 , 0.002358 , 0.001825 , 54.406416
82 , 0.002322 , 0.001793 , 54.406416
83 , 0.002357 , 0.001834 , 54.406416
84 , 0.002345 , 0.001850 , 54.406416
85 , 0.002332 , 0.001847 , 54.406416
86 , 0.002352 , 0.001842 , 54.406416
87 , 0.002333 , 0.001831 , 54.406416
88 , 0.002331 , 0.001816 , 54.406416
89 , 0.002333 , 0.001843 , 54.406416
90 , 0.002325 , 0.001832 , 54.406416
91 , 0.002335 , 0.001788 , 54.406416
92 , 0.002364 , 0.001800 , 54.406416
93 , 0.002328 , 0.001883 , 54.406416
94 , 0.002332 , 0.001893 , 54.406416
95 , 0.002354 , 0.001841 , 54.406416
96 , 0.002324 , 0.001830 , 54.406416
97 , 0.002335 , 0.001831 , 54.406416
98 , 0.002363 , 0.001958 , 54.406416
99 , 0.002321 , 0.001851 , 54.406416
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
95 , 100
