Parallel LU , 0
ROW_SIZE, 512
Run , LU_TIME
0 , 0.191771 
1 , 0.184155 
2 , 0.184113 
3 , 0.184321 
4 , 0.183976 
5 , 0.184095 
6 , 0.183827 
7 , 0.183869 
8 , 0.183762 
9 , 0.183765 
Run , LU_TIME
