Parallel LU , 1
ROW_SIZE, 512
Run , LU_TIME
0 , 1.401269 
1 , 1.382904 
2 , 1.383172 
3 , 1.368773 
4 , 1.358002 
5 , 1.369420 
6 , 1.388503 
7 , 1.374432 
8 , 1.354779 
9 , 1.397828 
Run , LU_TIME
