Parallel LU , 1
ROW_SIZE, 256
Run , LU_TIME
0 , 0.314030 
1 , 0.314263 
2 , 0.327650 
3 , 0.309083 
4 , 0.309316 
5 , 0.303257 
6 , 0.307903 
7 , 0.303805 
8 , 0.303262 
9 , 0.310958 
Run , LU_TIME
