
Crout Comp
Parallel LU , 1
Parallel MULT , 1
ROW_SIZE, 256
Err , RUN_COUNT
100 , 100
Run , LU_TIME, MULT_TIME, MoE
0 , 0.035766 , 0.014523 , 0.678403
1 , 0.017866 , 0.012251 , 0.294588
2 , 0.016088 , 0.011488 , 0.040744
3 , 0.016746 , 0.011701 , 0.294588
4 , 0.016808 , 0.011644 , 0.294588
5 , 0.016656 , 0.011818 , 0.040744
6 , 0.016836 , 0.011606 , 0.294588
7 , 0.016690 , 0.011486 , 0.168496
8 , 0.016714 , 0.011709 , 493.323757
9 , 0.016777 , 0.011506 , 563.966154
10 , 0.016733 , 0.011481 , 456.190327
11 , 0.016891 , 0.011530 , 261.330481
12 , 0.016862 , 0.011913 , 26.034241
13 , 0.016930 , 0.011639 , 116.738999
14 , 0.016733 , 0.011754 , 185.751745
15 , 0.016745 , 0.011543 , 26.738236
16 , 0.016879 , 0.011657 , 58.465434
17 , 0.016750 , 0.011578 , 31.343216
18 , 0.016807 , 0.011819 , 161.847832
19 , 0.016821 , 0.011514 , 37.536188
20 , 0.016888 , 0.011621 , 56.735715
21 , 0.016780 , 0.011647 , 526.196499
22 , 0.016735 , 0.011526 , 77.593325
23 , 0.016799 , 0.011406 , 12074.813381
24 , 0.016730 , 0.011650 , 13.591870
25 , 0.016844 , 0.011592 , 109.720191
26 , 0.016737 , 0.011620 , 318.609078
27 , 0.016855 , 0.011557 , 413.414788
28 , 0.016803 , 0.011729 , 160.913746
29 , 0.016755 , 0.011665 , 324.247677
30 , 0.016961 , 0.011511 , 257.989406
31 , 0.016899 , 0.011623 , 90.496098
32 , 0.016781 , 0.011671 , 149.448828
33 , 0.016891 , 0.011468 , 290.399218
34 , 0.016902 , 0.011546 , 202.566480
35 , 0.016756 , 0.011484 , 201.473345
36 , 0.016827 , 0.011700 , 55.105588
37 , 0.016782 , 0.011567 , 129.408647
38 , 0.016717 , 0.011660 , 200.997994
39 , 0.016785 , 0.011771 , 326.554364
40 , 0.016734 , 0.011540 , 124.819099
41 , 0.016789 , 0.011425 , 61.150948
42 , 0.016759 , 0.011535 , 32.109736
43 , 0.016762 , 0.011602 , 309.692975
44 , 0.016820 , 0.011854 , 202.752884
45 , 0.016850 , 0.011730 , 78.864513
46 , 0.016794 , 0.011475 , 186.158828
47 , 0.016804 , 0.011715 , 2191.667416
48 , 0.016839 , 0.011464 , 667.254826
49 , 0.016785 , 0.011412 , 9.683096
50 , 0.016748 , 0.011575 , 74.330111
51 , 0.016872 , 0.011598 , 102.021386
52 , 0.016589 , 0.012558 , 62.828213
53 , 0.016506 , 0.012443 , 2700.605468
54 , 0.016805 , 0.012307 , 2280.984732
55 , 0.016771 , 0.011517 , 1491.244598
56 , 0.016756 , 0.011630 , 89.610354
57 , 0.016776 , 0.011417 , 62.107436
58 , 0.016856 , 0.011787 , 1748.098559
59 , 0.016765 , 0.011660 , 67.621313
60 , 0.016775 , 0.011591 , 805.112391
61 , 0.016843 , 0.011811 , 124.063508
62 , 0.016743 , 0.011481 , 2286.261848
63 , 0.016759 , 0.011845 , 2384.751892
64 , 0.016803 , 0.011665 , 191.501402
65 , 0.016892 , 0.011624 , 5.579496
66 , 0.016890 , 0.011490 , 1092.521646
67 , 0.016813 , 0.011672 , 3299.487498
68 , 0.016805 , 0.011739 , 1659.219258
69 , 0.016842 , 0.011689 , 2408.471106
70 , 0.016784 , 0.011535 , 9.440914
71 , 0.016846 , 0.011531 , 26.430659
72 , 0.016751 , 0.011534 , 35.350964
73 , 0.016834 , 0.011645 , 85.153209
74 , 0.016819 , 0.011649 , 582.824447
75 , 0.016748 , 0.011624 , 2339.733641
76 , 0.016874 , 0.011811 , 1876.634461
77 , 0.016703 , 0.012419 , 1996.760809
78 , 0.016824 , 0.011442 , 1081.916322
79 , 0.016743 , 0.011496 , 256697.461825
80 , 0.016789 , 0.011533 , 112.761403
81 , 0.016884 , 0.011415 , 1110.249411
82 , 0.016864 , 0.011745 , 2389.229938
83 , 0.016795 , 0.011501 , 1.649683
84 , 0.016745 , 0.011566 , 2224.630575
85 , 0.016733 , 0.011454 , 57.964281
86 , 0.016931 , 0.011431 , 10.467990
87 , 0.016740 , 0.011661 , 120.166622
88 , 0.016764 , 0.011619 , 918.515880
89 , 0.016904 , 0.011737 , 1052.510356
90 , 0.016739 , 0.011572 , 879.449569
91 , 0.016762 , 0.011682 , 493.316108
92 , 0.016795 , 0.011490 , 1722.362060
93 , 0.016770 , 0.011450 , 113.766926
94 , 0.016682 , 0.011812 , 124.876650
95 , 0.016816 , 0.011716 , 94.802278
96 , 0.016823 , 0.011686 , 141.384752
97 , 0.016868 , 0.011505 , 128.091269
98 , 0.016842 , 0.011786 , 1250.029893
99 , 0.016937 , 0.011447 , 205042.477179
Run , LU_TIME, MULT_TIME, MoE
Err , RUN_COUNT
100 , 100
